omega_eV,CsGeCl3_d0.1,CsGeCl3_d0.15,CsGeCl3_d0.2,CsGeBr3_d0.1,CsGeBr3_d0.15,CsGeBr3_d0.2,CsGeI3_d0.1,CsGeI3_d0.15,CsGeI3_d0.2,CsSnCl3_d0.1,CsSnCl3_d0.15,CsSnCl3_d0.2,CsSnBr3_d0.1,CsSnBr3_d0.15,CsSnBr3_d0.2,CsSnI3_d0.1,CsSnI3_d0.15,CsSnI3_d0.2,CsPbCl3_d0.1,CsPbCl3_d0.15,CsPbCl3_d0.2,CsPbBr3_d0.1,CsPbBr3_d0.15,CsPbBr3_d0.2,CsPbI3_d0.1,CsPbI3_d0.15,CsPbI3_d0.2
4.82709,3.631697e-01,3.291535e-01,2.517596e-01,1.603841e-01,2.359712e-01,3.103326e-01,-8.541368e-02,-1.335604e-01,-1.884085e-01,-7.136699e-02,-1.115053e-01,-1.536152e-01,6.866503e-01,8.445062e-01,8.758346e-01,-3.057306e-02,-5.092817e-02,-7.616186e-02,-7.495150e-02,-1.138214e-01,-1.529662e-01,9.211551e-02,1.248298e-01,1.470147e-01,-1.677668e-03,-1.167988e-02,-2.973240e-02
4.84281,3.908967e-01,3.594610e-01,2.799926e-01,1.544371e-01,2.268468e-01,2.983239e-01,-8.609700e-02,-1.343187e-01,-1.884123e-01,-7.019862e-02,-1.097884e-01,-1.512465e-01,6.766370e-01,8.423367e-01,8.843813e-01,-3.245173e-02,-5.321466e-02,-7.844226e-02,-7.521440e-02,-1.143333e-01,-1.537160e-01,8.590830e-02,1.154823e-01,1.349105e-01,-4.531025e-03,-1.596022e-02,-3.574347e-02
4.85853,4.193185e-01,3.910730e-01,3.096892e-01,1.487599e-01,2.181376e-01,2.867857e-01,-8.668842e-02,-1.350913e-01,-1.887278e-01,-6.911357e-02,-1.082311e-01,-1.491223e-01,6.651054e-01,8.374260e-01,8.894245e-01,-3.443245e-02,-5.577255e-02,-8.096806e-02,-7.530763e-02,-1.146702e-01,-1.543749e-01,8.016009e-02,1.067296e-01,1.234554e-01,-7.127442e-03,-1.975909e-02,-4.101042e-02
4.87425,4.477860e-01,4.238457e-01,3.409609e-01,1.433044e-01,2.097712e-01,2.756201e-01,-8.715505e-02,-1.357411e-01,-1.891928e-01,-6.806824e-02,-1.067831e-01,-1.472063e-01,6.525257e-01,8.303088e-01,8.915323e-01,-3.642648e-02,-5.852225e-02,-8.384741e-02,-7.522669e-02,-1.147667e-01,-1.548117e-01,7.489654e-02,9.862029e-02,1.127296e-01,-9.552360e-03,-2.317687e-02,-4.557249e-02
4.88997,4.753466e-01,4.574006e-01,3.738482e-01,1.380542e-01,2.016908e-01,2.647475e-01,-8.749195e-02,-1.361995e-01,-1.896277e-01,-6.700588e-02,-1.053660e-01,-1.454230e-01,6.393088e-01,8.214927e-01,8.911690e-01,-3.834404e-02,-6.134048e-02,-8.707694e-02,-7.504677e-02,-1.146714e-01,-1.549892e-01,7.012143e-02,9.116890e-02,1.027693e-01,-1.190417e-02,-2.636925e-02,-4.958492e-02
4.90569,5.009555e-01,4.911400e-01,4.082638e-01,1.330031e-01,1.938946e-01,2.541085e-01,-8.768807e-02,-1.364621e-01,-1.898758e-01,-6.587193e-02,-1.038898e-01,-1.436634e-01,6.257724e-01,8.114395e-01,8.887455e-01,-4.010034e-02,-6.408475e-02,-9.054691e-02,-7.486395e-02,-1.145012e-01,-1.549756e-01,6.581862e-02,8.435328e-02,9.356812e-02,-1.424831e-02,-2.948612e-02,-5.326809e-02
4.92140,5.237392e-01,5.243375e-01,4.439366e-01,1.281285e-01,1.864281e-01,2.436956e-01,-8.771528e-02,-1.365491e-01,-1.898528e-01,-6.463305e-02,-1.022823e-01,-1.418098e-01,6.121211e-01,8.005294e-01,8.846531e-01,-4.161842e-02,-6.660559e-02,-9.406882e-02,-7.473651e-02,-1.143631e-01,-1.548922e-01,6.196128e-02,7.812481e-02,8.507359e-02,-1.659013e-02,-3.262047e-02,-5.683260e-02
4.93712,5.431804e-01,5.562522e-01,4.803761e-01,1.233922e-01,1.793343e-01,2.335937e-01,-8.755129e-02,-1.364668e-01,-1.895717e-01,-6.328428e-02,-1.005105e-01,-1.397710e-01,5.984345e-01,7.890195e-01,8.792431e-01,-4.284467e-02,-6.876097e-02,-9.740550e-02,-7.466248e-02,-1.143004e-01,-1.548404e-01,5.852161e-02,7.242871e-02,7.720208e-02,-1.888272e-02,-3.578767e-02,-6.042737e-02
4.95284,5.591562e-01,5.862048e-01,5.168831e-01,1.187619e-01,1.726140e-01,2.239710e-01,-8.721101e-02,-1.362075e-01,-1.891188e-01,-6.184217e-02,-9.858273e-02,-1.375091e-01,5.847000e-01,7.770270e-01,8.727856e-01,-4.378247e-02,-7.045207e-02,-1.003110e-01,-7.459256e-02,-1.142811e-01,-1.548531e-01,5.548369e-02,6.722587e-02,6.987218e-02,-2.106566e-02,-3.893446e-02,-6.411642e-02
4.96856,5.718453e-01,6.136263e-01,5.526198e-01,1.142226e-01,1.662249e-01,2.149969e-01,-8.675835e-02,-1.357828e-01,-1.885980e-01,-6.033970e-02,-9.654027e-02,-1.350462e-01,5.708750e-01,7.645505e-01,8.654505e-01,-4.451631e-02,-7.167756e-02,-1.025945e-01,-7.445469e-02,-1.142184e-01,-1.548800e-01,5.286518e-02,6.251414e-02,6.304183e-02,-2.310525e-02,-4.197378e-02,-6.787028e-02
4.98428,5.815739e-01,6.381202e-01,5.867444e-01,1.097701e-01,1.600994e-01,2.067472e-01,-8.629083e-02,-1.352523e-01,-1.880886e-01,-5.882647e-02,-9.445250e-02,-1.324560e-01,5.569170e-01,7.515099e-01,8.573052e-01,-4.519221e-02,-7.256582e-02,-1.041950e-01,-7.417762e-02,-1.140058e-01,-1.548096e-01,5.073562e-02,5.834566e-02,5.673384e-02,-2.500513e-02,-4.482886e-02,-7.157910e-02
5.00000,5.887033e-01,6.595217e-01,6.185824e-01,1.054068e-01,1.541558e-01,1.991640e-01,-8.590650e-02,-1.347161e-01,-1.876424e-01,-5.735928e-02,-9.240613e-02,-1.298453e-01,5.427702e-01,7.377846e-01,8.483025e-01,-4.596171e-02,-7.334333e-02,-1.052228e-01,-7.371921e-02,-1.135585e-01,-1.545166e-01,4.920713e-02,5.482820e-02,5.103806e-02,-2.679127e-02,-4.746285e-02,-7.509820e-02
