omega_eV,CsGeCl3_d0.1,CsGeCl3_d0.15,CsGeCl3_d0.2,CsGeBr3_d0.1,CsGeBr3_d0.15,CsGeBr3_d0.2,CsGeI3_d0.1,CsGeI3_d0.15,CsGeI3_d0.2,CsSnCl3_d0.1,CsSnCl3_d0.15,CsSnCl3_d0.2,CsSnBr3_d0.1,CsSnBr3_d0.15,CsSnBr3_d0.2,CsSnI3_d0.1,CsSnI3_d0.15,CsSnI3_d0.2,CsPbCl3_d0.1,CsPbCl3_d0.15,CsPbCl3_d0.2,CsPbBr3_d0.1,CsPbBr3_d0.15,CsPbBr3_d0.2,CsPbI3_d0.1,CsPbI3_d0.15,CsPbI3_d0.2
4.19833,-6.556043e-02,-1.095669e-01,-1.581299e-01,7.567373e-01,1.076798e+00,1.335948e+00,-5.707692e-02,-9.878252e-02,-1.517619e-01,-1.436131e-01,-2.175195e-01,-2.921995e-01,2.112030e-02,-6.595496e-02,-1.654703e-01,1.270478e-01,1.814161e-01,2.294242e-01,-7.328729e-02,-1.098707e-01,-1.457889e-01,1.374554e-01,1.480220e-01,9.526081e-02,4.401065e-01,6.280756e-01,8.011760e-01
4.21405,-6.254629e-02,-1.055572e-01,-1.533458e-01,7.306865e-01,1.043007e+00,1.302431e+00,-5.840002e-02,-1.014443e-01,-1.560036e-01,-1.418707e-01,-2.149349e-01,-2.889657e-01,4.008145e-02,-4.755437e-02,-1.492332e-01,1.189106e-01,1.693134e-01,2.131266e-01,-7.322569e-02,-1.098991e-01,-1.460046e-01,1.416338e-01,1.564741e-01,1.081781e-01,4.185829e-01,5.979501e-01,7.640698e-01
4.22977,-5.947084e-02,-1.014424e-01,-1.484624e-01,7.052364e-01,1.009277e+00,1.266719e+00,-5.925402e-02,-1.033811e-01,-1.594010e-01,-1.402180e-01,-2.124453e-01,-2.856732e-01,5.988266e-02,-2.800450e-02,-1.319173e-01,1.107006e-01,1.573517e-01,1.970942e-01,-7.311078e-02,-1.097961e-01,-1.460402e-01,1.457411e-01,1.647062e-01,1.209718e-01,3.972429e-01,5.680076e-01,7.266928e-01
4.24548,-5.637813e-02,-9.726377e-02,-1.434506e-01,6.804202e-01,9.758282e-01,1.229571e+00,-5.973504e-02,-1.047008e-01,-1.619639e-01,-1.386432e-01,-2.101061e-01,-2.825056e-01,8.029807e-02,-7.394112e-03,-1.135076e-01,1.024446e-01,1.454857e-01,1.813316e-01,-7.303231e-02,-1.096766e-01,-1.459623e-01,1.497991e-01,1.726704e-01,1.335054e-01,3.761297e-01,5.382599e-01,6.891408e-01
4.26120,-5.330588e-02,-9.309050e-02,-1.383378e-01,6.563159e-01,9.428833e-01,1.191588e+00,-6.000620e-02,-1.055283e-01,-1.638418e-01,-1.371145e-01,-2.078941e-01,-2.795558e-01,1.010980e-01,1.416018e-02,-9.397594e-02,9.425981e-02,1.337558e-01,1.659390e-01,-7.304499e-02,-1.096506e-01,-1.458966e-01,1.538639e-01,1.804213e-01,1.457099e-01,3.553220e-01,5.087645e-01,6.515797e-01
4.27692,-5.026278e-02,-8.897833e-02,-1.332018e-01,6.330001e-01,9.107379e-01,1.153292e+00,-6.030319e-02,-1.060452e-01,-1.652548e-01,-1.356090e-01,-2.057567e-01,-2.768114e-01,1.220611e-01,3.651527e-02,-7.331959e-02,8.633289e-02,1.222881e-01,1.510526e-01,-7.313774e-02,-1.097548e-01,-1.459489e-01,1.579901e-01,1.880755e-01,1.576382e-01,3.348660e-01,4.795854e-01,6.141884e-01
4.29264,-4.722187e-02,-8.494199e-02,-1.281279e-01,6.104839e-01,8.796703e-01,1.115229e+00,-6.089221e-02,-1.065216e-01,-1.664309e-01,-1.341085e-01,-2.036412e-01,-2.741886e-01,1.429544e-01,5.950682e-02,-5.160409e-02,7.888430e-02,1.112738e-01,1.368090e-01,-7.324869e-02,-1.099353e-01,-1.461376e-01,1.622054e-01,1.957325e-01,1.694281e-01,3.147673e-01,4.507732e-01,5.770925e-01
4.30836,-4.413494e-02,-8.095028e-02,-1.231673e-01,5.887085e-01,8.498056e-01,1.077982e+00,-6.198019e-02,-1.072760e-01,-1.675864e-01,-1.325755e-01,-2.014882e-01,-2.715724e-01,1.635158e-01,8.293495e-02,-2.897681e-02,7.210646e-02,1.009333e-01,1.233346e-01,-7.331564e-02,-1.100983e-01,-1.463905e-01,1.665368e-01,2.034440e-01,1.812193e-01,2.950623e-01,4.224095e-01,5.403981e-01
4.32408,-4.096096e-02,-7.694373e-02,-1.183200e-01,5.675846e-01,8.210780e-01,1.042043e+00,-6.362220e-02,-1.085688e-01,-1.689223e-01,-1.309362e-01,-1.992128e-01,-2.688385e-01,1.834673e-01,1.065438e-01,-5.648959e-03,6.608405e-02,9.146035e-02,1.107478e-01,-7.332486e-02,-1.101866e-01,-1.466117e-01,1.710409e-01,2.112468e-01,1.930958e-01,2.758893e-01,3.946755e-01,5.043017e-01
4.33980,-3.768436e-02,-7.286697e-02,-1.135373e-01,5.470340e-01,7.932943e-01,1.007663e+00,-6.569564e-02,-1.104965e-01,-1.705856e-01,-1.290978e-01,-1.967024e-01,-2.658625e-01,2.025581e-01,1.300288e-01,1.812843e-02,6.074387e-02,8.294416e-02,9.914252e-02,-7.331290e-02,-1.102126e-01,-1.467524e-01,1.757694e-01,2.191880e-01,2.050795e-01,2.574748e-01,3.678694e-01,4.691554e-01
